| end of split  56 / 80 | epoch   1 | time: 354.91s | valid loss  0.86 | valid ppl     2.36 | learning rate 20.0000
| end of split  57 / 80 | epoch   1 | time: 355.32s | valid loss  0.85 | valid ppl     2.35 | learning rate 20.0000
| end of split  58 / 80 | epoch   1 | time: 354.90s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split  59 / 80 | epoch   1 | time: 354.78s | valid loss  0.86 | valid ppl     2.36 | learning rate 20.0000
| end of split  60 / 80 | epoch   1 | time: 353.74s | valid loss  0.85 | valid ppl     2.35 | learning rate 20.0000
| end of split  61 / 80 | epoch   1 | time: 353.75s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split  62 / 80 | epoch   1 | time: 355.12s | valid loss  0.85 | valid ppl     2.33 | learning rate 20.0000
| end of split  63 / 80 | epoch   1 | time: 354.80s | valid loss  0.85 | valid ppl     2.33 | learning rate 20.0000
| end of split  64 / 80 | epoch   1 | time: 353.73s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split  65 / 80 | epoch   1 | time: 355.42s | valid loss  0.85 | valid ppl     2.35 | learning rate 20.0000
| end of split  66 / 80 | epoch   1 | time: 354.21s | valid loss  0.85 | valid ppl     2.33 | learning rate 20.0000
| end of split  67 / 80 | epoch   1 | time: 354.56s | valid loss  0.84 | valid ppl     2.32 | learning rate 20.0000
| end of split  68 / 80 | epoch   1 | time: 354.71s | valid loss  0.84 | valid ppl     2.32 | learning rate 20.0000
| end of split  69 / 80 | epoch   1 | time: 353.83s | valid loss  0.84 | valid ppl     2.32 | learning rate 20.0000
| end of split  70 / 80 | epoch   1 | time: 354.07s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  71 / 80 | epoch   1 | time: 355.93s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  72 / 80 | epoch   1 | time: 354.57s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  73 / 80 | epoch   1 | time: 353.03s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  74 / 80 | epoch   1 | time: 354.30s | valid loss  0.84 | valid ppl     2.32 | learning rate 20.0000
| end of split  75 / 80 | epoch   1 | time: 354.68s | valid loss  0.87 | valid ppl     2.39 | learning rate 20.0000
| end of split  76 / 80 | epoch   1 | time: 354.74s | valid loss  0.84 | valid ppl     2.31 | learning rate 20.0000
| end of split  77 / 80 | epoch   1 | time: 354.26s | valid loss  0.83 | valid ppl     2.30 | learning rate 20.0000
| end of split  78 / 80 | epoch   1 | time: 354.12s | valid loss  0.83 | valid ppl     2.29 | learning rate 20.0000
| end of split  79 / 80 | epoch   1 | time: 355.24s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split  80 / 80 | epoch   1 | time: 354.11s | valid loss  0.86 | valid ppl     2.35 | learning rate 20.0000
| end of split   1 / 80 | epoch   2 | time: 352.12s | valid loss  0.83 | valid ppl     2.29 | learning rate 20.0000
| end of split   2 / 80 | epoch   2 | time: 354.28s | valid loss  0.86 | valid ppl     2.35 | learning rate 20.0000
| end of split   3 / 80 | epoch   2 | time: 355.76s | valid loss  0.84 | valid ppl     2.30 | learning rate 20.0000
| end of split   4 / 80 | epoch   2 | time: 354.67s | valid loss  0.83 | valid ppl     2.30 | learning rate 20.0000
| end of split   5 / 80 | epoch   2 | time: 355.44s | valid loss  0.85 | valid ppl     2.35 | learning rate 20.0000
| end of split   6 / 80 | epoch   2 | time: 355.22s | valid loss  0.85 | valid ppl     2.34 | learning rate 20.0000
| end of split   7 / 80 | epoch   2 | time: 354.44s | valid loss  0.82 | valid ppl     2.28 | learning rate 20.0000
| end of split   8 / 80 | epoch   2 | time: 354.63s | valid loss  0.82 | valid ppl     2.28 | learning rate 20.0000
